workload,runs,bytes_total,ops,time_sec,ai,th_gbps
addressbook,5,8000000.0,1000000.0,0.0140378,0.125,4.562960560432274
mapreduce,5,16000000.0,2000000.0,0.0192776,0.125,6.64154041411881
sensor,5,48000000.0,6000000.0,0.043042000000000004,0.125,8.936787001027284
social,5,32000000.0,4000000.0,0.0328146,0.125,7.804231082886368
telemetry,5,24000000.0,3000000.0,0.0256996,0.125,7.476771441148257
trading,5,40000000.0,5000000.0,0.0381512,0.125,8.389742810977104
